epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.8869,1.73037,4.2218,1.23614,0.04642,0.53251,0.03102,0.01387,1.82994,inf,1.32206,0.000656566,0.000656566,0.000656566
2,167.255,1.96519,2.2802,1.38738,0.04642,0.53251,0.03102,0.01387,3.25056,inf,5.62817,0.00132061,0.00132061,0.00132061
3,236.463,2.05339,2.37804,1.4243,0.04642,0.53251,0.03102,0.01387,5.01398,inf,197.179,0.00198202,0.00198202,0.00198202
4,306.258,2.16793,2.69557,1.47686,0.30935,0.22291,0.14587,0.05375,2.32672,12.5932,1.62519,0.00198812,0.00198812,0.00198812
5,373.471,2.28062,2.4437,1.54643,0.29555,0.24458,0.16305,0.05906,2.28809,2.18558,1.65721,0.00198416,0.00198416,0.00198416
6,441.061,2.21071,2.37699,1.4709,0.39013,0.35294,0.29148,0.12496,1.9979,2.69257,1.42409,0.0019802,0.0019802,0.0019802
7,508.643,2.04543,2.093,1.40268,0.30081,0.35604,0.24488,0.11054,1.81013,3.76847,1.31941,0.00197624,0.00197624,0.00197624
8,576.891,1.9955,2.01251,1.37625,0.49718,0.45666,0.41757,0.18368,1.81298,6.80518,1.33055,0.00197228,0.00197228,0.00197228
9,644.246,1.95531,1.8873,1.34998,0.45498,0.45486,0.36291,0.15517,1.94993,1.80487,1.3809,0.00196832,0.00196832,0.00196832
10,711.159,1.95581,1.76591,1.34236,0.44595,0.39009,0.32523,0.1347,1.98418,2.0395,1.38424,0.00196436,0.00196436,0.00196436
11,778.342,1.93294,1.9477,1.34028,0.54528,0.51605,0.49463,0.23337,1.76918,1.67551,1.28268,0.0019604,0.0019604,0.0019604
12,845.671,1.93413,1.89927,1.36408,0.48044,0.46092,0.41539,0.17867,1.87273,1.80852,1.33353,0.00195644,0.00195644,0.00195644
13,912.698,1.87213,1.87835,1.31997,0.38487,0.39009,0.33659,0.155,1.82567,2.27394,1.31512,0.00195248,0.00195248,0.00195248
14,979.878,1.8259,1.64972,1.28977,0.48173,0.51238,0.42538,0.2143,1.73528,1.82101,1.29187,0.00194852,0.00194852,0.00194852
15,1046.93,1.85728,1.73366,1.31662,0.44946,0.47214,0.44323,0.21133,1.85592,1.60293,1.30022,0.00194456,0.00194456,0.00194456
16,1114.27,1.83654,1.66573,1.29951,0.44517,0.38235,0.33112,0.14777,1.81453,1.98192,1.30053,0.0019406,0.0019406,0.0019406
17,1181.35,1.78693,1.59992,1.26334,0.54895,0.4969,0.50908,0.24467,1.76621,1.56297,1.28586,0.00193664,0.00193664,0.00193664
18,1248.58,1.81592,1.51888,1.27445,0.50176,0.4969,0.47508,0.21387,1.86149,1.62789,1.30343,0.00193268,0.00193268,0.00193268
19,1315.77,1.75341,1.49187,1.26805,0.52123,0.51393,0.49865,0.23299,1.81614,1.47287,1.28944,0.00192872,0.00192872,0.00192872
20,1382.66,1.7185,1.48735,1.25491,0.54689,0.50929,0.51099,0.25068,1.74149,1.56134,1.2499,0.00192476,0.00192476,0.00192476
21,1449.79,1.7384,1.48586,1.24917,0.507,0.52167,0.50027,0.25142,1.76623,1.57839,1.26251,0.0019208,0.0019208,0.0019208
22,1516.94,1.73106,1.44382,1.2438,0.52685,0.48142,0.49954,0.24061,1.7673,1.44947,1.26014,0.00191684,0.00191684,0.00191684
23,1584.15,1.70467,1.37116,1.24607,0.45789,0.46904,0.41555,0.18885,1.91541,1.84264,1.33682,0.00191288,0.00191288,0.00191288
24,1651.27,1.71884,1.38187,1.23786,0.51745,0.51238,0.50077,0.22525,1.8639,1.5357,1.32077,0.00190892,0.00190892,0.00190892
25,1718.11,1.67042,1.34871,1.226,0.49295,0.46285,0.44708,0.18185,2.06585,1.5854,1.35448,0.00190496,0.00190496,0.00190496
26,1784.99,1.63829,1.30345,1.21126,0.59236,0.54662,0.57353,0.27956,1.78383,1.34357,1.26943,0.001901,0.001901,0.001901
27,1852.39,1.67639,1.34343,1.21538,0.54374,0.51238,0.51953,0.27212,1.75871,1.75062,1.26911,0.00189704,0.00189704,0.00189704
28,1919.49,1.69776,1.3099,1.21898,0.6014,0.60372,0.6159,0.30413,1.65081,1.2389,1.21362,0.00189308,0.00189308,0.00189308
29,1986.8,1.73642,1.28114,1.24562,0.57387,0.55728,0.58979,0.30591,1.68049,1.36125,1.23458,0.00188912,0.00188912,0.00188912
30,2053.59,1.75124,1.34543,1.23549,0.61998,0.53096,0.60011,0.31841,1.5988,1.37105,1.21102,0.00188516,0.00188516,0.00188516
31,2120.68,1.7721,1.33002,1.24625,0.58555,0.60363,0.61261,0.32828,1.59151,1.32038,1.21338,0.0018812,0.0018812,0.0018812
32,2188.03,1.7997,1.31361,1.25097,0.65268,0.5743,0.61062,0.31413,1.6361,1.2943,1.21165,0.00187724,0.00187724,0.00187724
33,2255.21,1.67423,1.22369,1.21603,0.60987,0.54025,0.58447,0.32345,1.56991,1.56987,1.19835,0.00187328,0.00187328,0.00187328
34,2322.35,1.63142,1.21538,1.18818,0.61114,0.57658,0.613,0.33892,1.57951,1.46418,1.20692,0.00186932,0.00186932,0.00186932
35,2389.38,1.62361,1.23531,1.20384,0.54896,0.52941,0.52092,0.28653,1.57082,1.64298,1.21111,0.00186536,0.00186536,0.00186536
36,2456.29,1.56026,1.20589,1.17517,0.64054,0.56824,0.61067,0.34913,1.56484,1.40843,1.19546,0.0018614,0.0018614,0.0018614
